PATIENT_ID,TMED4,TMED9
TCGA.RY.A843.01,752.688,1629.42
TCGA.RY.A845.01,1227.73,2068.15
TCGA.RY.A847.01,1108.9,1852.81
TCGA.S9.A6TS.01,795.414,2339.07
TCGA.S9.A6TU.01,947.892,1939.37
TCGA.S9.A6TV.01,895.758,2585.63
TCGA.S9.A6TW.01,880.698,2093.62
TCGA.S9.A6TX.01,1055.31,1913.56
TCGA.S9.A6TY.01,1287.98,1393.99
TCGA.S9.A6TZ.01,1156.77,1645.55
TCGA.S9.A6U0.01,875.553,3555.86
TCGA.S9.A6U1.01,874.851,2123.56
TCGA.S9.A6U2.01,1079.03,2120.21
TCGA.S9.A6U5.01,1045.99,2656.12
TCGA.S9.A6U6.01,852.472,1974.93
TCGA.S9.A6U8.01,1153.52,1952.16
TCGA.S9.A6U9.01,933.494,2162.41
TCGA.S9.A6UA.01,922.386,4411.43
TCGA.S9.A6UB.01,1223.7,1969.8
TCGA.S9.A6WD.01,1226.28,1972.48
TCGA.S9.A6WE.01,1080.7,2237.83
TCGA.S9.A6WG.01,700.393,2363.95
TCGA.S9.A6WH.01,1495.4,2047.78
TCGA.S9.A6WI.01,674.087,1493.91
TCGA.S9.A6WL.01,986.023,1853.47
TCGA.S9.A6WM.01,2719.7,4320.06
TCGA.S9.A6WN.01,1187.55,3386.19
TCGA.S9.A6WO.01,959.422,1949.16
TCGA.S9.A6WP.01,1010.85,2441.5
TCGA.S9.A6WQ.01,942.729,2370.43
TCGA.S9.A7IQ.01,843.431,1581.35
TCGA.S9.A7IS.01,874.073,3231.13
TCGA.S9.A7IX.01,1305.91,3679.03
TCGA.S9.A7IY.01,1160.43,2591.67
TCGA.S9.A7IZ.01,1251.77,2044.99
TCGA.S9.A7J0.01,915.336,1664.54
TCGA.S9.A7J1.01,1129.42,1853.58
TCGA.S9.A7J2.01,984.856,1781.88
TCGA.S9.A7J3.01,1151.24,1982.88
TCGA.S9.A7QW.01,761.843,2085.68
TCGA.S9.A7QX.01,863.795,2294.4
TCGA.S9.A7QY.01,950.964,1878.88
TCGA.S9.A7QZ.01,1125.95,1649.54
TCGA.S9.A7R1.01,1036.33,1755.06
TCGA.S9.A7R2.01,1812.32,2773.52
TCGA.S9.A7R3.01,1164.11,2206.46
TCGA.S9.A7R4.01,902.805,1786.99
TCGA.S9.A7R7.01,977.146,3420.29
TCGA.S9.A7R8.01,1288.77,1642.37
TCGA.S9.A89V.01,1349.82,2029.52
TCGA.S9.A89Z.01,983.254,3234.45
TCGA.TM.A7C3.01,1950.07,5607.6
TCGA.TM.A7C4.01,672.993,1737.71
TCGA.TM.A7C5.01,859.285,1978.09
TCGA.TM.A7CA.01,962.668,1816.63
TCGA.TM.A7CF.01,935.658,1667.62
TCGA.TM.A84B.01,1565.22,2876.35
TCGA.TM.A84C.01,862.779,3310.41
TCGA.TM.A84F.01,701.736,2542.35
TCGA.TM.A84G.01,1082.61,2049.64
TCGA.TM.A84H.01,1465.72,1566.92
TCGA.TM.A84I.01,1154.21,1882.4
TCGA.TM.A84J.01,781.811,1781.39
TCGA.TM.A84L.01,914.204,1892.5
TCGA.TM.A84M.01,1473.31,1443.94
TCGA.TM.A84O.01,1105.79,2098.95
TCGA.TM.A84Q.01,1038.23,2611.4
TCGA.TM.A84R.01,735.324,1408.54
TCGA.TM.A84S.01,850.958,1994.79
TCGA.TM.A84T.01,857.673,2088.55
TCGA.TQ.A7RF.01,1589.35,2956.23
TCGA.TQ.A7RG.01,1019.31,2095.19
TCGA.TQ.A7RH.01,1142.58,2051.85
TCGA.TQ.A7RI.01,1717.15,1911.14
TCGA.TQ.A7RJ.01,944.57,1988.21
TCGA.TQ.A7RK.01,802.366,2338.74
TCGA.TQ.A7RM.01,1074.55,1229.36
TCGA.TQ.A7RN.01,1348.37,1777.48
TCGA.TQ.A7RO.01,963.801,1789.14
TCGA.TQ.A7RP.01,1308.07,2668.5
TCGA.TQ.A7RQ.01,1037.28,1469.27
TCGA.TQ.A7RR.01,1293.98,1972.41
TCGA.TQ.A7RS.01,1209.68,2225.76
TCGA.TQ.A7RU.01,1012.24,2230.8
TCGA.TQ.A7RV.01,891.647,1721.05
TCGA.TQ.A7RW.01,1041.6,1974.44
TCGA.TQ.A8XE.01,1154.1,2314.79
TCGA.VM.A8C8.01,1047.9,2310.79
TCGA.VM.A8C9.01,557.784,7156.32
TCGA.VM.A8CA.01,1083.44,3388.59
TCGA.VM.A8CB.01,1318.64,1983.65
TCGA.VM.A8CD.01,999.194,3596.76
TCGA.VM.A8CE.01,1024.82,2064.85
TCGA.VM.A8CF.01,818.731,2952.42
TCGA.VM.A8CH.01,824.708,2112.46
TCGA.VV.A829.01,1115.87,2072.22
TCGA.VV.A86M.01,937.5,2143.42
TCGA.VW.A7QS.01,1095.67,2919.74
