PATIENT_ID,FOXM1,MCM2
TCGA.A7.A0DC.01,7.815722714,9.888723465
TCGA.A7.A13D.01,10.88337644,11.36197666
TCGA.A7.A13E.01,11.22409214,10.49451562
TCGA.A7.A13F.01,11.51469433,11.68006058
TCGA.A7.A13G.01,7.926835607,9.130210166
TCGA.A7.A13H.01,7.942690433,9.730446361
TCGA.A7.A26E.01,8.698989358,9.398200709
TCGA.A7.A26F.01,10.20370282,9.438095283
TCGA.A7.A26G.01,9.770853817,9.452335975
TCGA.A7.A26H.01,8.515762906,10.50606951
TCGA.A7.A26I.01,10.67954168,10.24850875
TCGA.A7.A26J.01,10.30832765,9.666195593
TCGA.A7.A2KD.01,9.79068734,10.33030069
TCGA.A7.A3IY.01,8.70034261,9.638533659
TCGA.A7.A3IZ.01,10.13459317,10.62850022
TCGA.A7.A3J0.01,9.961009728,9.685379552
TCGA.A7.A3J1.01,8.52431447,9.897408347
TCGA.A7.A3RF.01,9.23569595,9.24515811
TCGA.A7.A425.01,9.92769205,10.19007157
TCGA.A7.A426.01,8.556969635,9.835052435
TCGA.A7.A4SA.01,9.421097037,10.2225172
TCGA.A7.A4SB.01,10.14065086,9.895096577
TCGA.A7.A4SC.01,9.031356596,9.527619705
TCGA.A7.A4SD.01,11.67666233,11.56621581
TCGA.A7.A4SE.01,11.38531778,10.6257545
TCGA.A7.A4SF.01,10.81383729,10.74294095
TCGA.A7.A56D.01,8.981164812,10.53428343
TCGA.A7.A5ZV.01,11.29138369,11.38786116
TCGA.A7.A5ZW.01,7.033775373,9.008781549
TCGA.A7.A5ZX.01,6.498504594,8.568020701
TCGA.A7.A6VV.01,10.81218533,12.29254596
TCGA.A7.A6VW.01,12.13586317,11.8576506
TCGA.A7.A6VX.01,10.4402982,11.48238446
TCGA.A7.A6VY.01,11.53994394,12.14261127
TCGA.A8.A06N.01,9.059974404,10.52342474
TCGA.A8.A06O.01,10.18050594,11.44507694
TCGA.A8.A06P.01,7.891808001,9.577528907
TCGA.A8.A06Q.01,10.02118821,10.4146958
TCGA.A8.A06R.01,7.96992752,10.08100401
TCGA.A8.A06T.01,8.6566358,10.10546333
TCGA.A8.A06U.01,9.630651186,9.393868774
TCGA.A8.A06X.01,10.34850687,10.52008825
TCGA.A8.A06Y.01,8.471354128,8.632631752
TCGA.A8.A06Z.01,9.896907551,10.60720084
TCGA.A8.A075.01,10.64325193,10.95898763
TCGA.A8.A076.01,10.17361468,10.76952382
TCGA.A8.A079.01,11.6814888,11.66778571
TCGA.A8.A07B.01,9.995300778,10.18295295
TCGA.A8.A07C.01,11.97934302,11.00341953
TCGA.A8.A07E.01,10.23939565,10.59324171
TCGA.A8.A07F.01,9.465892862,9.541762619
TCGA.A8.A07G.01,8.220392839,10.03349183
TCGA.A8.A07I.01,10.38552811,10.73135298
TCGA.A8.A07J.01,7.396039579,9.711259142
TCGA.A8.A07L.01,12.29484185,12.08573136
TCGA.A8.A07O.01,11.69824453,11.80861029
TCGA.A8.A07P.01,9.039810113,10.0598041
TCGA.A8.A07R.01,11.64942685,11.77268572
TCGA.A8.A07S.01,10.21220453,9.797060007
TCGA.A8.A07U.01,11.99715478,10.77862748
TCGA.A8.A07W.01,10.61495825,11.64765629
TCGA.A8.A07Z.01,10.36360915,10.65684492
TCGA.A8.A081.01,10.60256897,11.50665966
TCGA.A8.A082.01,10.37045856,10.91034292
TCGA.A8.A083.01,6.835216697,8.66048087
TCGA.A8.A085.01,9.11561073,11.90769062
TCGA.A8.A086.01,9.150247404,10.85176465
TCGA.A8.A08A.01,8.862414195,9.874706303
TCGA.A8.A08B.01,9.972491628,10.93430271
TCGA.A8.A08C.01,8.179187562,9.40212525
TCGA.A8.A08G.01,10.51130792,10.27108947
TCGA.A8.A08H.01,10.14725581,9.916422901
TCGA.A8.A08I.01,10.41584738,10.98961447
TCGA.A8.A08J.01,10.32116146,10.84235034
TCGA.A8.A08L.01,10.08943724,12.29256896
TCGA.A8.A08O.01,9.364386393,9.690275655
TCGA.A8.A08P.01,10.54026368,9.966067025
TCGA.A8.A08R.01,11.88061283,11.03354001
TCGA.A8.A08T.01,8.44291033,9.833124117
TCGA.A8.A08X.01,10.07996471,10.21103654
TCGA.A8.A08Z.01,8.14654322,9.623623647
TCGA.A8.A090.01,9.690612645,10.30196482
TCGA.A8.A091.01,8.697266463,9.835042958
TCGA.A8.A092.01,11.0107239,11.27120621
TCGA.A8.A093.01,8.783319136,10.14159628
TCGA.A8.A094.01,10.68362628,9.311982124
TCGA.A8.A095.01,9.885174713,11.35503719
TCGA.A8.A096.01,9.646317491,10.03603621
TCGA.A8.A097.01,9.410199043,10.81434213
TCGA.A8.A099.01,8.646501109,9.231732395
TCGA.A8.A09A.01,9.266610877,9.14124118
TCGA.A8.A09B.01,8.599351272,10.34987831
TCGA.A8.A09C.01,10.05807292,10.09995264
TCGA.A8.A09D.01,9.312619798,9.882739328
TCGA.A8.A09G.01,10.24814105,10.36157099
TCGA.A8.A09I.01,10.74123101,11.14626318
TCGA.A8.A09M.01,9.695840741,10.46157153
TCGA.A8.A09N.01,10.80193465,10.63037635
TCGA.A8.A09Q.01,9.308814541,11.1452826
TCGA.A8.A09R.01,9.574065546,9.903717688
TCGA.A8.A09T.01,8.736385018,10.21539952
TCGA.A8.A09V.01,8.923167012,9.794407743
TCGA.A8.A09W.01,10.48148665,11.38400662
TCGA.A8.A09X.01,11.34553831,9.966182414
TCGA.A8.A09Z.01,9.546747868,9.221594371
TCGA.A8.A0A1.01,8.825181411,9.916418422
TCGA.A8.A0A2.01,8.702474009,9.175639365
TCGA.A8.A0A4.01,9.541433528,10.68227481
TCGA.A8.A0A6.01,7.767601835,9.132322354
TCGA.A8.A0A7.01,9.190656833,9.824594442
TCGA.A8.A0A9.01,9.682875232,10.07967144
TCGA.A8.A0AB.01,9.634466214,10.82590485
TCGA.A8.A0AD.01,9.091564972,9.970983036
TCGA.AC.A23C.01,9.346043839,9.884478872
TCGA.AC.A23E.01,8.388671733,9.300986246
TCGA.AC.A23G.01,8.520363314,9.54286356
TCGA.AC.A23H.01,9.721987779,10.93341035
TCGA.AC.A2B8.01,8.240653018,9.652359214
TCGA.AC.A2BK.01,10.89643837,11.81043507
TCGA.AC.A2BM.01,9.582712171,10.51926275
TCGA.AC.A2FB.01,8.425056411,9.559774757
TCGA.AC.A2FE.01,8.566898852,9.371236485
TCGA.AC.A2FF.01,8.843321243,8.931561921
TCGA.AC.A2FG.01,7.672397054,9.700066858
TCGA.AC.A2FK.01,6.106459298,8.366475219
TCGA.AC.A2FM.01,9.607393199,10.37005527
TCGA.AC.A2FO.01,7.603559586,8.846339736
TCGA.AC.A2QH.01,11.77766628,10.5143886
TCGA.AC.A2QI.01,6.409066718,9.464829565
TCGA.AC.A2QJ.01,9.175891316,10.69835741
TCGA.AC.A3BB.01,7.848572868,9.593079205
TCGA.AC.A3EH.01,8.977445938,10.16689115
TCGA.AC.A3HN.01,9.057775167,9.780168999
TCGA.AC.A3OD.01,9.14779257,10.44344089
TCGA.AC.A3QP.01,7.427396658,9.209782321
TCGA.AC.A3QQ.01,9.123857569,11.01494802
TCGA.AC.A3TM.01,9.603772832,10.31516089
TCGA.AC.A3TN.01,7.782854096,9.422935168
TCGA.AC.A3W5.01,9.826092409,9.923896428
TCGA.AC.A3W6.01,9.188141256,9.900554391
TCGA.AC.A3W7.01,7.715660039,9.682111496
TCGA.AC.A3YI.01,7.412603717,8.636095294
TCGA.AC.A3YJ.01,8.240905789,8.528504902
TCGA.AC.A4ZE.01,9.724217098,10.80518764
TCGA.AC.A5EH.01,9.106458251,10.3415077
TCGA.AC.A5XS.01,7.627665198,9.818818613
TCGA.AC.A5XU.01,10.00534384,9.814262009
TCGA.AC.A62V.01,10.48845275,11.83593591
TCGA.AC.A62X.01,10.78808207,11.53810646
TCGA.AC.A62Y.01,8.093576021,9.678237439
TCGA.AC.A6IV.01,8.493307081,9.925044029
TCGA.AC.A6IW.01,11.57482056,11.1851356
TCGA.AC.A6IX.01,9.685579289,9.604899731
TCGA.AC.A6NO.01,9.344724214,10.34026182
TCGA.AC.A7VB.01,11.05970948,11.27395291
TCGA.AC.A7VC.01,10.64999261,11.90419806
