PATIENT_ID,FOXM1,MCM2
TCGA.AC.A3W6.01,582.319,954.793
TCGA.AC.A3W7.01,209.206,820.497
TCGA.AC.A3YI.01,169.379,396.854
TCGA.AC.A3YJ.01,301.524,368.263
TCGA.AC.A4ZE.01,844.826,1788.31
TCGA.AC.A5EH.01,550.21,1296.49
TCGA.AC.A5XS.01,196.768,902.148
TCGA.AC.A5XU.01,1026.8,899.3
TCGA.AC.A62V.01,1435.61,3654.71
TCGA.AC.A62X.01,1767.22,2972.83
TCGA.AC.A62Y.01,272.155,818.294
TCGA.AC.A6IV.01,359.363,971.156
TCGA.AC.A6IW.01,3049.48,2327.42
TCGA.AC.A6IX.01,822.474,777.687
TCGA.AC.A6NO.01,649.193,1295.37
TCGA.AC.A7VB.01,2133.54,2475.27
TCGA.AC.A7VC.01,1605.82,3831.84
TCGA.AC.A8OP.01,600.307,484.022
TCGA.AC.A8OQ.01,1154.39,2408.79
TCGA.AC.A8OR.01,334.293,761.364
TCGA.AC.A8OS.01,323.714,489.903
TCGA.AN.A03X.01,355.611,696.54
TCGA.AN.A03Y.01,1494.07,1603.43
TCGA.AN.A041.01,626.932,1465.47
TCGA.AN.A046.01,778.997,745.93
TCGA.AN.A049.01,914.19,2235.57
TCGA.AN.A04A.01,573.61,1549.02
TCGA.AN.A04C.01,1652.2,1516.94
TCGA.AN.A04D.01,3100.51,4737.11
TCGA.AN.A0AJ.01,2028.61,3058.24
TCGA.AN.A0AK.01,3183.46,2400.5
TCGA.AN.A0AL.01,4434.48,2190.42
TCGA.AN.A0AM.01,2742.57,2070.8
TCGA.AN.A0AR.01,8071.34,1359.66
TCGA.AN.A0AS.01,610.354,554.179
TCGA.AN.A0AT.01,3049,1997.41
TCGA.AN.A0FD.01,451.604,1171.21
TCGA.AN.A0FF.01,1167.26,1032.48
TCGA.AN.A0FJ.01,2793.76,4214.89
TCGA.AN.A0FK.01,787.1,1021.31
TCGA.AN.A0FL.01,662.266,1213.73
TCGA.AN.A0FN.01,439.19,502.355
TCGA.AN.A0FS.01,312.441,1036.24
TCGA.AN.A0FT.01,323.004,513.139
TCGA.AN.A0FV.01,538.969,1554.68
TCGA.AN.A0FW.01,1245.95,1797.88
TCGA.AN.A0FX.01,1809.25,4942.26
TCGA.AN.A0FY.01,1747.89,2830.32
TCGA.AN.A0FZ.01,613.725,887.659
TCGA.AN.A0G0.01,2524.53,1460.25
TCGA.AN.A0XL.01,617.721,838.359
